Name,Department Profile,Specialties,Education,Location,About,Profile Link
Tara O’Donohue,Assistant Attending Pediatrician ,Early Phase Clinical Trials | Precision Oncology | Developmental Therapeutics | Rare Pediatric Tumors | Relapsed and Refractory Tumors in Pediatric and Young Adult Patients | Pediatric Sarcomas ,"MD, Rutgers Robert Wood Johnson Medical School | MS, Weill Cornell Medicine Clinical & Translational Science Center ",New York,"I am a pediatric oncologist on the MSK Kids team who specializes in early-phase clinical trials evaluating promising new treatments for pediatric cancers. I am a member of the Sarcoma Service at Memorial Sloan Kettering Cancer Center (MSK), where I care for pediatric and young adult patients with soft-tissue and bone sarcomas, as well as rare pediatric solid tumors.",https://www.mskcc.org/cancer-care/doctors/tara-o-donohue
Roger E. Padilla,"Medical Director, Post Anesthesia Care Unit ","Anesthesiology, Post Anesthesia Care ","MD, State University of New York Health Science Center at Syracuse ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/roger-padilla
Jesuel Padro-Guzman,Assistant Attending Physician ,Cancer Rehabilitation | Musculoskeletal Medicine | Physical Medicine and Rehabilitation Exercise Physiology | Arthritic Rehabilitation | Rotator Cuff Injury | Bursitis | Trigger Point Injection | Musculoskeletal Ultrasound Injection | Botox Injection | Electrodiagnosis ,"MD, Universidad Central del Caribe, School of Medicine (Puerto Rico) ",New York,"I am a board-certified physical medicine and rehabilitation physician. During my residency, I began to consider how physical medicine and rehabilitation could impact a cancer patient’s quality of life. This interest led me to complete a fellowship in cancer rehabilitation at Memorial Sloan Kettering. After completing my fellowship, I joined Weill Cornell Medical College’s Department of Rehabilitation Medicine, where I helped develop a cancer rehabilitation program. I have had the opportunity to lecture on cancer rehabilitation at national and international conferences.",https://www.mskcc.org/cancer-care/doctors/jesuel-padro-guzman
Andrew M. Pagano,Assistant Attending Radiologist ,Lung Cancer Screening and Diagnosis | Imaging of Thoracic Tumors | Cardiac CT and MRI ,"MD, Stony Brook School of Medicine ",New York,"I am a fellowship-trained radiologist who specializes in oncologic imaging of the body, with a particular interest in cardiothoracic cancers and associated conditions of the heart and lungs. At Memorial Sloan Kettering Cancer Center, I am a member not only of our Thoracic and Cardiac Disease Management teams but also our lung screening group. I work closely with colleagues across many departments, such as pathology, surgery, medical oncology, and radiation oncology, to provide comprehensive care to our patients.",https://www.mskcc.org/cancer-care/doctors/andrew-pagano
Christine Paik,Assistant Attending Physician ,Pain and Symptom Management | Palliative Medicine ,"DO, Touro University California ",New York,"I am a family medicine physician with specialty training in hospice and palliative medicine. As part of the Supportive Care Service, I work predominantly in the outpatient setting. With training in family medicine, my clinical expertise lies in providing the quality care that is needed for patients in clinic.",https://www.mskcc.org/cancer-care/doctors/christine-paik
Paul K. Paik,"Clinical Director, Thoracic Oncology Service ",Lung Cancer | Clinical Trials | Translational Research ,"MD, Weill Cornell Medical College ",New York,I am a medical oncologist specializing in the care of patients with lung cancer.,https://www.mskcc.org/cancer-care/doctors/paul-paik
M. Lia Palomba,Attending Physician ,Hodgkin and Non-Hodgkin Lymphomas | Chronic Lymphocytic Leukemia (CLL) | Waldenström’s Macroglobulinemia | Translational Studies in Lymphoma ,"MD, University of Pavia ",Montvale,"I am a hematologist-oncologist who specializes in the study and treatment of lymphoma. My work focuses on the development of novel therapies for patients with B cell lymphoma, including indolent lymphomas (follicular, marginal zone, small lymphocytic), Waldenström’s macroglobulinemia, and chronic lymphocytic leukemia, as well as aggressive lymphoma, such as diffuse large-B cell lymphoma.",https://www.mskcc.org/cancer-care/doctors/m-lia-palomba
Neeta Pandit-Taskar,Attending Physician ,"Molecular Imaging with PET/CT and PET/MR | Theranostics | Radiolabeled Antibodies, Small Molecules and Peptides, Beta and Alpha Emitters for Imaging and Targeted Cancer Therapies | Pediatric Malignancies ","MD, Lady Hardinge Medical College (India) ",New York,I am a clinician-scientist who is board certified in nuclear medicine and nuclear cardiology. I have more than two decades of broad experience in clinical nuclear medicine and related research. I am the Clinical Director of the Center for Radioimmunotargeted Imaging and Theranostics of the Ludwig Center for Cancer immunotherapy.,https://www.mskcc.org/cancer-care/doctors/neeta-pandit-taskar
Esperanza B. Papadopoulos,"Clinical Director, Adult Bone Marrow Transplantation Inpatient Unit | Associate Vice Chair of Hospital Medicine Inpatient Operations, Department of Medicine ",Allogoeneic Hematopoietic Stem Cell Transplantation for Treatment of Hematologic Malignancies and Bone Marrow Failure Syndromes | Cellular Immunotherapy for Treatment of Post-Transplant Infectious Complications and Relapse ,"MD, New York University School of Medicine ",New York,"I am a board-certified hematologist and oncologist and work as a bone marrow and stem cell transplant physician on the Adult Bone Marrow Transplant Service. I am part of a multidisciplinary team that treats patients using stem cell transplantation to treat a variety of hematologic malignancies. My particular expertise is in the area of allogeneic transplantation — the use of stem cells or bone marrow derived from a donor other than the patient. Stem cells can come from different sources (related or unrelated donors, bone marrow, peripheral blood, or umbilical cord blood units) and be modified in different ways before transplantation. My current focus is risk stratification — determining which type of transplant is best for each patient who is able to undergo and benefit from an allogeneic transplant.",https://www.mskcc.org/cancer-care/doctors/esperanza-papadopoulos
Genovefa Papanicolaou,Attending Physician ,Infections in Transplant Patients and Other Immunocompromised Patients ,"MD, National University of Athens School of Medicine(Greece) ",New York,I am a physician with special expertise in the management of infections in patients with weakened immune systems. Patients undergoing chemotherapy or bone marrow transplantation are more vulnerable to infection than healthy individuals. These patients may develop infections that present with unusual severity.,https://www.mskcc.org/cancer-care/doctors/genovefa-papanicolaou
Emmanouil P. Pappou,Assistant Attending Surgeon ,"Primary and Recurrent Colon, Rectal, Anal, Appendiceal and Small Bowel Cancers | Carcinoid | Peritoneal Surface Malignancies | Minimally Invasive Surgery (Robotic and Laparoscopic) | Preservation of Bowel, Bladder, and Sexual Function | Clinical Trials in Surgery ","MD, Technical University of Munich | PhD, Ludwig-Maximilians-University of Munich ",New York,"I am a board-certified colorectal surgeon who specializes in treating gastrointestinal cancers. Specifically, I focus on colon cancer, rectal cancer, appendiceal cancer, and anal cancer.",https://www.mskcc.org/cancer-care/doctors/emmanouil-pappou
Rekha Parameswaran,Attending Physician ,Hematology | Disorders of Hemostasis and Thrombosis ,"MD, Byramjee Jeejeebhoy Medical College ",New York,"I am a board-certified hematologist who specializes in caring for people with cancer who have disorders of the coagulation system. My expertise is in the evaluation and management of bleeding disorders or problems associated with abnormal clotting, and I work closely with the highly skilled surgeons at Memorial Sloan Kettering to ensure that patients with these disorders who need to undergo surgery do so safely without any complications.",https://www.mskcc.org/cancer-care/doctors/rekha-parameswaran
Fresia Pareja,Assistant Attending Pathologist ,Breast Pathology ,"MD, Universidad Catolica de Santa Maria | PhD, Weizmann Institute of Science ",New York,"I am board-certified pathologist with expertise in breast pathology. I am also a physician-scientist focused on the study of breast cancer. As a member of the Breast Disease Management Team, I work closely with a multidisciplinary team to provide comprehensive care for people with breast tumors. My research focuses on the study of the genetic alterations in breast cancer, particularly of special histologic subtypes, and on the identification of new cancer genes through the study of rare tumors. Ultimately, my goal is for this knowledge to help develop new strategies for caring for people with breast cancer.",https://www.mskcc.org/cancer-care/doctors/fresia-pareja
Dhwani R. Parikh,"Director, Radiation Oncology, MSK Basking Ridge ",Breast Cancer | Gynecologic Malignancies | Bladder Cancer | Prostate Cancer | Lymphoma | Multiple Myeloma | Skin Cancers | Soft Tissue Sarcoma | Metastatic Brain Tumors & Secondary Brain Cancer | IMRT | IGRT | SBRT ,"MD, University of Connecticut School of Medicine ",Basking Ridge,"I am a board-certified radiation oncologist who specializes in treating gynecologic cancers such as cervical cancer, uterine (endometrial) cancer, and ovarian cancer as well as breast cancer and prostate and bladder cancers. I also have expertise in treating sarcoma, lymphoma, and multiple myeloma.",https://www.mskcc.org/cancer-care/doctors/dhwani-parikh
Bernard J. Park,"Deputy Chief of Clinical Affairs, Thoracic Service ",Lung Cancer | Robotic Surgery | VATS | Esophageal Cancer | Esophageal Disorders | Mediastinal Tumors | Chest Wall Tumors | Pleural Diseases ,"BS, Chemistry, Georgetown University | MD, University of Pennsylvania School of Medicine ",New York,"I am a thoracic surgeon who specializes in the surgical treatment of non-heart chest diseases, including lung cancer, esophageal cancer, mediastinal tumors such as thymoma, chest wall tumors, and malignant pleural mesothelioma. I am particularly experienced in the care of people with advanced lung and esophageal cancers.",https://www.mskcc.org/cancer-care/doctors/bernard-park
